,W3_1H_A165,W3_1H_R166,W3_24H_A167,W3_24H_R168,W3_6H_A169,W3_6H_R170,W3_D14_A171,W3_D14_R172,W3_D3_A173,W3_D3_R174,W3_D7_A175,W3_D7_R176,W3_PRE_A177,W3_PRE_R178,W5_1H_A179,W5_1H_R180,W5_24H_A181,W5_24H_R182,W5_6H_A183,W5_6H_R184,W5_D10_A185,W5_D10_R186,W5_D14_A187,W5_D14_R188,W5_D3_A189,W5_D3_R190,W5_D7_A191,W5_D7_R192,W5_PRE_A193,W5_PRE_R194,W3_1H_A201,W3_1H_R202,W3_24H_A203,W3_24H_R204,W3_6H_A205,W3_6H_R206,W3_D14_R207,W3_PRE_A208,W3_PRE_R209,W4_1H_A210,W4_1H_R211,W4_24H_A212,W4_24H_R213,W4_6H_A214,W4_6H_R215,W4_D10_A216,W4_D10_R217,W4_D14_A218,W4_D14_R219,W4_D3_A220,W4_D3_R221,W4_D7_A222,W4_D7_R223,W4_PRE_A224,W4_PRE_R225,W5_1H_A226,W5_1H_R227,W5_24H_A228,W5_24H_R229,W5_6H_A230,W5_6H_R231,W5_PRE_A232,W5_PRE_R233,W6_1H_R234,W6_24H_A235,W6_24H_R236,W6_6H_A237,W6_6H_R238,W6_D3_A239,W6_D3_R240,W6_D7_A241,W6_D7_R242,W6_D10_A243,W6_D10_R244,W6_D14_A245,W6_D14_R246,W6_PRE_A247,W6_PRE_R248,W7_1H_A249,W7_1H_R250,W7_24H_A251,W7_24H_R252,W7_6H_A253,W7_6H_R254,W7_D10_A255,W7_D10_R256,W7_D14_A257,W7_D14_R258,W7_D7_A259,W7_D7_R260,W7_PRE_A261,W7_PRE_R262,W8_1H_A263,W8_1H_R264,W8_24H_A265,W8_24H_R266,W8_6H_A267,W8_6H_R268,W8_D10_A269,W8_D10_R270,W8_D14_A271,W8_D14_R272,W8_D3_A273,W8_D3_R274,W8_D7_A275,W8_D7_R276,W8_PRE_A277,W8_PRE_R278,W9_1H_A279,W9_1H_R280,W9_24H_A281,W9_24H_R282,W9_6H_A283,W9_6H_R284,W9_D10_A285,W9_D10_R286,W9_D14_A287,W9_D14_R288,W9_D3_A289,W9_D3_R290,W9_D7_A291,W9_D7_R292,W9_PRE_A293,W9_PRE_R294,W10_PRE_R307,W10_D3_R308,W10_D10_R309,W10_D14_R310,W11_PRE_A311,W11_1H_A312,W11_6H_A313,W11_24H_A314,W11_D3_A315,W11_D7_A316,W11_D10_A317,W11_D14_A318,W12_PRE_R319,W12_1H_R320,W12_6H_R321,W12_24H_R322,W12_D3_R323,W12_D7_R324,W12_D10_R325,W12_D14_R326
ssc-miR-542-3p,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,1,1,0,6,0,13,6,7,0,0,0,1,1,0,0,0,0,0,0
ssc-miR-19b,54,125,13,865,562,16,2,0,19,1369,7,12,74,8,2,6,4,4,1,14,3,4,2,4,8,0,5,0,10,0,21,10,12,185,192,7,0,26,4,32,10,10,6,16,8,3,31,4,0,0,19,0,3,0,0,1,5,5,5,0,4,5,0,20,24,17,17,12,11,14,19,19,12,6,9,27,8,35,6,1,9,3,11,57,2,0,28,40,15,19,14,2,10,4,12,19,25,7,20,69,18,22,39,54,3,30,2,4,1,9,0,17,2,4,70,50,4,3,17,13,105,31,0,0,4742,963,664,658,4023,97,28760,10020,16412,438,87,8,324,774,322,5,594,333,2,4
ssc-miR-19a,15,31,0,189,139,8,1,0,3,272,1,1,16,7,0,0,2,1,0,0,3,0,0,0,2,0,0,0,1,0,8,2,0,48,38,1,0,6,5,2,3,6,2,2,3,0,5,3,0,0,5,0,0,0,0,0,0,2,1,0,0,0,0,4,13,2,9,4,1,4,1,5,2,3,5,6,1,12,0,0,1,0,4,8,1,0,10,11,0,4,3,1,2,0,0,8,5,4,2,20,7,5,7,14,2,2,0,0,2,5,0,2,0,1,14,11,2,0,7,3,23,6,0,0,1307,327,153,189,1640,8,9198,3189,4955,77,11,1,42,91,41,1,86,49,1,1
ssc-miR-4331-3p,0,2,0,12,17,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,9,0,0,1,0,2,0,0,0,65,7,2,0,0,2,31,5,9,16,1,0,14,23,16,0,17,25,0,0
ssc-miR-9854-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssc-miR-9855-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssc-miR-9856-3p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssc-miR-9857-5p,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ssc-miR-3613,0,1,1,3,6,0,0,0,0,20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,5,1,8,4,0,45,5,19,0,1,1,1,1,1,0,0,1,0,0
ssc-miR-499-5p,1,3,1,12,18,1,1,0,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,3,0,0,1,0,0,3,3,0,0,0,4,4,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,2,2,0,0,0,2,2,0,0,0,0,1,3,0,0,0,5,0,1,1,0,0,0,0,1,3,2,0,0,0,1,2,2,0,2,0,1,2,1,0,1,0,0,8,0,0,0,0,0,7,2,0,0,231,18,9,15,25,2,389,99,170,5,0,0,4,9,11,0,5,17,0,0
